,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_smote_on_disbalanced,f1_test_smote_on_population
39,XGB,bank-marketing,100,1.0,0.6666666666666666,0.7056284840855961,1.0,0.7206343352387977
40,Nearest Neighbors,bank-marketing,200,0.2,0.0,0.2896257986005476,0.7307692307692307,0.6354609929078014
41,Decision Tree,bank-marketing,200,0.2,0.0,0.3836549375709421,0.5714285714285714,0.5771164287150613
42,Random Forest,bank-marketing,200,0.2,0.0,0.12335412335412335,0.7272727272727273,0.6246851385390428
43,Neural Net,bank-marketing,200,0.2,0.0,0.14982467325470195,0.31007751937984496,0.6859589929924734
44,AdaBoost,bank-marketing,200,0.2,0.0,0.42354266403829904,0.6511627906976745,0.6630160067396799
45,Naive Bayes,bank-marketing,200,0.2,0.0,0.4619535887749595,0.5,0.6257854821235103
46,QDA,bank-marketing,200,0.2,0.0,0.4466811751904244,0.5396825396825397,0.570873786407767
47,XGB,bank-marketing,200,0.2,0.0,0.35232558139534886,1.0,0.6320384111741597
48,Nearest Neighbors,bank-marketing,200,0.4,0.36363636363636365,0.46125750065223065,0.782608695652174,0.6137959520859149
49,Decision Tree,bank-marketing,200,0.4,0.5714285714285714,0.5035035035035035,0.8974358974358975,0.6707240293809024
50,Random Forest,bank-marketing,200,0.4,0.3333333333333333,0.5486681603186457,0.8131868131868132,0.6617792748167228
51,Neural Net,bank-marketing,200,0.4,0.5142857142857142,0.6841619411842279,0.46511627906976744,0.6846590909090909
52,AdaBoost,bank-marketing,200,0.4,0.631578947368421,0.6789828298196044,0.7727272727272727,0.7329643061652987
53,Naive Bayes,bank-marketing,200,0.4,0.375,0.5842335095380372,0.5747126436781609,0.6395420159476589
54,QDA,bank-marketing,200,0.4,0.25,0.5876734136911531,0.5714285714285714,0.6185004868549172
55,XGB,bank-marketing,200,0.4,0.47058823529411764,0.666228934121252,1.0,0.6953478797859202
56,Nearest Neighbors,bank-marketing,200,0.6,0.6896551724137931,0.5762321510824505,0.8264462809917356,0.6374715967775253
57,Decision Tree,bank-marketing,200,0.6,0.64,0.6756993006993007,0.8888888888888888,0.6033412887828162
58,Random Forest,bank-marketing,200,0.6,0.47619047619047616,0.5450495049504951,0.8907563025210085,0.7086930335274041
59,Neural Net,bank-marketing,200,0.6,0.6808510638297872,0.6785056564062089,0.5757575757575758,0.6743119266055045
60,AdaBoost,bank-marketing,200,0.6,0.5833333333333334,0.6565054119726088,0.8833333333333333,0.7131908027430416
61,Naive Bayes,bank-marketing,200,0.6,0.6666666666666666,0.592087312414734,0.7368421052631579,0.6546150574223735
62,QDA,bank-marketing,200,0.6,0.72,0.5926773455377574,0.7272727272727273,0.6294924852973208
63,XGB,bank-marketing,200,0.6,0.6666666666666666,0.6630992196209587,1.0,0.6907714946394786
64,Nearest Neighbors,bank-marketing,200,0.8,0.6896551724137931,0.6412955465587045,0.8284023668639053,0.6836603704382909
65,Decision Tree,bank-marketing,200,0.8,0.6896551724137931,0.6090482287665386,0.8834355828220859,0.7176067073170732
66,Random Forest,bank-marketing,200,0.8,0.6896551724137931,0.7021541010770506,0.8536585365853658,0.7525773195876289
67,Neural Net,bank-marketing,200,0.8,0.68,0.683967112024666,0.64,0.6854922279792746
68,AdaBoost,bank-marketing,200,0.8,0.7096774193548387,0.7157350308334991,0.7901234567901234,0.7521921463972551
69,Naive Bayes,bank-marketing,200,0.8,0.6451612903225806,0.6389654441382234,0.6956521739130435,0.7053011590347711
70,QDA,bank-marketing,200,0.8,0.7272727272727273,0.5971415810629745,0.7088607594936709,0.7012678288431062
71,XGB,bank-marketing,200,0.8,0.8235294117647058,0.6944444444444444,1.0,0.7541909964211716
72,Nearest Neighbors,bank-marketing,200,1.0,0.7391304347826086,0.6332807570977917,0.8275862068965517,0.6734505087881592
73,Decision Tree,bank-marketing,200,1.0,0.7916666666666666,0.685932169375878,0.8942307692307693,0.7040909924784443
74,Random Forest,bank-marketing,200,1.0,0.8163265306122449,0.7188118811881188,0.865979381443299,0.7627992633517495
75,Neural Net,bank-marketing,200,1.0,0.8484848484848485,0.6810520939734422,0.6872852233676976,0.6813130668029123
