,ds_name,n_sampling,synth_f1
0,bank-marketing,100,0.9375
1,bank-marketing,100,0.7131782945736435
2,bank-marketing,100,0.7595682041216879
3,bank-marketing,100,0.6913073237508556
4,bank-marketing,100,0.7263681592039801
5,bank-marketing,100,0.703858670385867
6,bank-marketing,100,0.7170940170940171
7,bank-marketing,100,0.7609001406469761
8,bank-marketing,100,0.7680812910938434
9,bank-marketing,100,0.7162818955042527
10,california,100,0.7445008460236887
11,california,100,0.7096774193548387
12,california,100,0.7831552482715274
13,california,100,0.6603550295857988
14,california,100,0.7036363636363636
15,california,100,0.732595501606569
16,california,100,0.6989741775733994
17,california,100,0.7070649052268811
18,california,100,0.7040673211781207
19,california,100,0.7250291036088475
20,credit,100,0.7422680412371134
21,credit,100,0.7137096774193549
22,credit,100,0.5217391304347826
23,credit,100,0.6002728512960437
24,credit,100,0.6827731092436975
25,credit,100,0.5559481743227326
26,credit,100,0.6728176011355571
27,credit,100,0.6684599865501009
28,credit,100,0.5573065902578797
29,credit,100,0.6460126219162364
30,bank-marketing,200,0.735195530726257
31,bank-marketing,200,0.6691529035695258
32,bank-marketing,200,0.6896551724137931
33,bank-marketing,200,0.712144386662588
34,bank-marketing,200,0.7208480565371025
35,bank-marketing,200,0.7068418667874944
36,bank-marketing,200,0.6877354541649225
37,bank-marketing,200,0.7043430855896784
38,bank-marketing,200,0.7034146341463414
39,bank-marketing,200,0.6730497567100926
40,california,200,0.7520661157024794
41,california,200,0.7329032258064516
42,california,200,0.7569771088115397
43,california,200,0.7243350733283619
44,california,200,0.7440766865617653
45,california,200,0.7683475562451513
46,california,200,0.773509046236319
47,california,200,0.7488816592110614
48,california,200,0.7446808510638298
49,california,200,0.7392058262528177
50,credit,200,0.6377295492487479
51,credit,200,0.6935185185185185
52,credit,200,0.6518575258521639
53,credit,200,0.6820809248554913
54,credit,200,0.6634470268638696
55,credit,200,0.6392
56,credit,200,0.6480194017784964
57,credit,200,0.7022558167001299
58,credit,200,0.6591040629702511
59,credit,200,0.6456608237444886
60,bank-marketing,500,0.7073170731707317
61,bank-marketing,500,0.7054709531866892
62,bank-marketing,500,0.6729000613120785
63,bank-marketing,500,0.7003825920612148
64,bank-marketing,500,0.696163117717959
65,bank-marketing,500,0.68556271314892
66,bank-marketing,500,0.6777993141493962
67,bank-marketing,500,0.6966122796671254
68,bank-marketing,500,0.7065531475748194
69,bank-marketing,500,0.7020497304183634
70,california,500,0.7536287981420553
71,california,500,0.7608771929824562
72,california,500,0.7447257383966245
73,california,500,0.745679012345679
74,california,500,0.7613693249643806
75,california,500,0.7548437096357531
76,california,500,0.7614745211420311
77,california,500,0.7750132834338254
78,california,500,0.7697705079216107
79,california,500,0.771119230083764
80,credit,500,0.7201582765442954
81,credit,500,0.691324200913242
82,credit,500,0.7060530679933665
83,credit,500,0.6917723329202021
84,credit,500,0.7062476334721697
85,credit,500,0.6751071546323771
86,credit,500,0.7041484716157205
87,credit,500,0.684972598788578
88,credit,500,0.7134526282153699
89,credit,500,0.6951406047770325
90,bank-marketing,1000,0.7024824568022334
91,bank-marketing,1000,0.6953859854177102
92,bank-marketing,1000,0.7160188008130082
93,bank-marketing,1000,0.7094165568467713
94,bank-marketing,1000,0.7091944980810031
95,bank-marketing,1000,0.7018344352360555
96,bank-marketing,1000,0.694855093676815
97,bank-marketing,1000,0.7113864361333272
98,bank-marketing,1000,0.6956671359299234
99,bank-marketing,1000,0.6930170951809168
100,california,1000,0.8401152504675732
101,california,1000,0.8241285916156382
102,california,1000,0.8090635601356974
103,california,1000,0.8201401819640614
104,california,1000,0.8321575061525841
105,california,1000,0.8214698497469212
106,california,1000,0.8151821346692706
107,california,1000,0.8271428356343817
108,california,1000,0.8320067464564886
109,california,1000,0.8148543110748675
110,credit,1000,0.7496473906911142
111,credit,1000,0.7194744976816074
112,credit,1000,0.751154879140555
113,credit,1000,0.7286301996038397
114,credit,1000,0.7334741015254675
115,credit,1000,0.7297427963643396
116,credit,1000,0.7520945871458494
117,credit,1000,0.7251185904675853
118,credit,1000,0.716950810508664
119,credit,1000,0.7060912876622847
120,bank-marketing,2000,0.699804481876974
121,bank-marketing,2000,0.699759725985379
122,bank-marketing,2000,0.7062723319987946
123,bank-marketing,2000,0.7164366937839903
124,bank-marketing,2000,0.704014939309057
125,bank-marketing,2000,0.7147174981865076
126,bank-marketing,2000,0.7189461077844311
127,bank-marketing,2000,0.7254248583805398
128,bank-marketing,2000,0.7135507393153737
129,bank-marketing,2000,0.7172750304963873
130,california,2000,0.8416785760685982
131,california,2000,0.8455839870581741
132,california,2000,0.833884470680404
133,california,2000,0.8448844884488449
134,california,2000,0.8473490527463541
135,california,2000,0.8395823739860437
136,california,2000,0.8372604555863565
137,california,2000,0.8339353229964557
138,california,2000,0.8416053335882241
139,california,2000,0.8360060354625104
140,credit,2000,0.7232692489819111
141,credit,2000,0.7462734106255574
142,credit,2000,0.7375976356343678
143,credit,2000,0.7475158955162258
144,credit,2000,0.7395963058408651
145,credit,2000,0.7471115875502781
146,credit,2000,0.7482867926650126
147,credit,2000,0.730509122502172
148,credit,2000,0.7468409084367175
149,credit,2000,0.7455294530154277
